inv_nr,gebouw,adres,plaats,provincie,functie,materiaal,sectie,jaar_van,jaar_tot,aantal_bladen,lat,lon,precisie,na_link
1275.1,Ontvanger der registratie en domeinen,"Rijksstraatweg, Hardegarijp",Hardegarijp,,overig,tekening,IB,1939,1939,2,53.218708,5.954084,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1275.1/file/
1276.1,Marechausseekazerne Bergummerheide,Woudweg 7-11,Noordbergum,,politie,tekening,IB,1913,1929,7,53.220402,5.981871,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1276.1/file/
1277.1,Kantongerecht,Stadhuisplein 175,Tilburg,Noord-Brabant,rechtspraak,tekening,IB,1896,1897,3,51.55458,5.088443,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1277.1/file/
1278.1,Belastinggebouw,Stationsstraat 24,Tilburg,Noord-Brabant,bestuur & financiën,tekening,IB,1938,1941,238,51.558488,5.082819,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1278.1/file/
1279.1,Grenskantoor,Laagseweg,Tubbergen,Overijssel,douane & opslag,tekening,IB,1910,1920,1,52.436342,6.926655,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1279.1/file/
1280.1,Woningen,Langeveen,Tubbergen,Overijssel,woningbouw,tekening,IB,1912,1912,1,52.455279,6.703738,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1280.1/file/
1281.1,Grenskantoor,Mander,Tubbergen,Overijssel,douane & opslag,tekening,IB,1890,1900,1,52.444486,6.836674,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1281.1/file/
1282.1,"Woonhuis voor Th. Peters, arts",Rijksstraatweg 173-175,Ubbergen,Gelderland,woningbouw,tekening,IB,1929,1929,1,51.83668,5.901217,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1282.1/file/
1283.1,"Beek, Post- en telegraafgebouw",Rijksstraatweg 163-165,Ubbergen,Gelderland,post & telegraaf,tekening,IB,1936,1936,1,51.83668,5.901217,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1283.1/file/
1284.1,Grenskantoor / Dienstwoning,"Rijksstraatweg 213-215, Beek",Ubbergen,Gelderland,douane & opslag,tekening,IB,1885,1927,2,51.83668,5.901217,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1284.1/file/
1285.1,Marechausseekazerne,Kazernestraat,Uden,Noord-Brabant,politie,tekening,IB,1921,1921,1,51.654383,5.615747,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1285.1/file/
1286.1,Post- en telegraafgebouw,Marktstraat 7-9,Uden,Noord-Brabant,post & telegraaf,tekening,IB,1935,1935,1,51.657287,5.611873,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1286.1/file/
1287.1,Post- en telegraafgebouw,Middelweg 77-79,Uitgeest,Noord-Holland,post & telegraaf,tekening,IB,1906,1932,6,52.525911,4.711112,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1287.1/file/
1288.1,Amaliastichting / Tandheelkundig instituut,,Utrecht,Utrecht,overig,tekening,IB,1915,1930,10,52.091138,5.074754,plaats,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1288.1/file/
1289.1,Tandheelkundige kliniek,,Utrecht,Utrecht,zorg,tekening,IB,1925,1935,1,52.091138,5.074754,plaats,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1289.1/file/
1290.1,Physiologisch laboratorium,Van Asch van Wijckkade,Utrecht,Utrecht,onderwijs & wetenschap,tekening,IB,1865,1904,6,52.096535,5.117602,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1290.1/file/
1291.1,Woning van de hoogleraar-directeur aan de R.U. / Laboratorium voor histologie en embryologie,Nicolaas Beetsstraat,Utrecht,Utrecht,onderwijs & wetenschap,tekening,IB,1915,1925,1,52.084942,5.116808,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1291.1/file/
1292.1,Psychiatrische kliniek van het Academisch Ziekenhuis c.a,Nicolaas Beetsstraat 22,Utrecht,Utrecht,zorg,tekening,IB,1908,1910,29,52.084942,5.116808,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1292.1/file/
1293.1,Instituut voor veterinaire anatomie van de Rijksveeartsenijkundige Hogeschool c.a,Bekkerstraat 141,Utrecht,Utrecht,onderwijs & wetenschap,tekening,IB,1918,1920,220,52.099976,5.134011,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1293.1/file/
1294.1,Physisch laboratorium,Bijlhouwerstraat 6,Utrecht,Utrecht,onderwijs & wetenschap,tekening,IB,1875,1926,44,52.081555,5.122922,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1294.1/file/
1295.1,Woonhuizen,Biltstraat 101,Utrecht,Utrecht,overig,tekening,IB,1895,1905,1,52.09522,5.131736,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1295.1/file/
1296.1,Rijksveeartsenijschool / Rijksveeartsenijkundige Hogeschool / Faculteit der diergeneeskunde,Biltstraat 166-172,Utrecht,Utrecht,onderwijs & wetenschap,tekening,IB,,,197,52.095751,5.137954,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1296.1/file/
