kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Ludwigslust,Russische,65,65,0,0,0,0,53.33002,11.49936,Amsterdam (2); Doornspijk (1); Rotterdam (1)
Griesbach,Amerikaanse,64,64,0,0,0,0,50.60443,12.61732,'s-Gravenhage (11); Wormer (4); Koog aan de Zaan (4)
Buchen,Amerikaanse,62,62,0,0,0,0,49.52194,9.32513,Utrecht (12); Hoensbroek (6); Amsterdam (3)
Langensalza,Russische,62,62,0,0,0,0,52.17141,9.6599,'s-Gravenhage (8); Utrecht (8); Amsterdam (3)
Ebermannstadt,Amerikaanse,61,61,0,0,0,0,49.78021,11.18751,Groningen (12); Rotterdam (10); Tilburg (4)
Grimma,Russische,60,60,0,0,0,0,51.23664,12.7289,Renkum (6); Amsterdam (6); Lochem (4)
Eschenbach In Der Oberpfalz,Amerikaanse,57,57,0,0,0,0,49.75311,11.82946,Leeuwarden (12); Haarlem (6); Amsterdam (6)
Neumarkt In Der Oberpfalz,Amerikaanse,56,56,0,0,0,0,49.28005,11.45854,Rotterdam (19); De Bilt (6); Amsterdam (6)
Dingolfing,Amerikaanse,55,55,0,0,0,0,48.63008,12.49774,Rotterdam (15); Amsterdam (9); IJsselmuiden (6)
Osterburg,Russische,53,53,0,0,0,0,52.7899,11.7526,Princenhage (8); Gouda (5); Amsterdam (5)
Münsingen,Franse,53,53,0,0,0,0,48.41286,9.49479,Boskoop (4); Rotterdam (2); Vlaardingen (1)
Zittau,Russische,53,53,0,0,0,0,50.90978,14.80089,Amsterdam (9); Zwolle (3); Arnhem (3)
Oberbarnim,Russische,53,53,0,0,0,0,52.60163,14.04583,'s-Gravenhage (6); Axel (4); Delft (3)
Gerolzhafen,Amerikaanse,53,53,0,0,0,0,,,Ridderkerk (10); 's-Gravenhage (7); Den Helder (4)
Eichstatt,Amerikaanse,49,49,0,0,0,0,48.88633,11.19894,Culemborg (15); Vledder (7); Rotterdam (6)
Crailsheim,Amerikaanse,49,49,0,0,0,0,49.13656,10.07202,Leiden (6); Amsterdam (6); Boxtel (3)
Luckau,Russische,48,48,0,0,0,0,51.85242,13.71501,Bergambacht (5); 's-Gravenhage (4); Schoten (4)
